11 , Generation , 88 , Euclid , 3.622818421310944
11 , Generation , 89 , Euclid , 7.956557738332072
11 , Generation , 87 , Euclid , 27.485436195353703
10 , Generation , 77 , Euclid , 47.58798540075559
9 , Generation , 70 , Euclid , 65.4646261576572
8 , Generation , 65 , Euclid , 86.53138239682956
7 , Generation , 53 , Euclid , 156.28975865414665
5 , Generation , 41 , Euclid , 153.65283266328646
6 , Generation , 47 , Euclid , 189.89748420071425
4 , Generation , 28 , Euclid , 2483.3375325555758
2 , Generation , 12 , Euclid , 4980.318480262036
1 , Generation , 7 , Euclid , 6321.348505301429
3 , Generation , 18 , Euclid , 7407.0799014256645
12 , Generation , 90 , Euclid , 7.179856953130451
12 , Generation , 91 , Euclid , 12.994715140332962
12 , Generation , 92 , Euclid , 0
12 , Generation , 93 , Euclid , 4.769697505348822
12 , Generation , 94 , Euclid , 2.803832465737242
12 , Generation , 95 , Euclid , 0
12 , Generation , 96 , Euclid , 11.87805356640526
12 , Generation , 97 , Euclid , 21.1829901780699
