5 , Generation , 37 , Euclid , 1026.6948631464693
4 , Generation , 27 , Euclid , 1043.959787738832
13 , Generation , 98 , Euclid , 61.10008444865959
13 , Generation , 99 , Euclid , 30.929861627347872
13 , Generation , 100 , Euclid , 15.993753654217965
13 , Generation , 101 , Euclid , 0
13 , Generation , 102 , Euclid , 14.255412332286552
13 , Generation , 103 , Euclid , 0
13 , Generation , 104 , Euclid , 0
13 , Generation , 105 , Euclid , 18.430102499735
13 , Generation , 98 , Euclid , 122.20016889731929
12 , Generation , 93 , Euclid , 272.22934764921825
11 , Generation , 84 , Euclid , 398.7361635735384
9 , Generation , 70 , Euclid , 423.5387956387345
10 , Generation , 78 , Euclid , 473.21487710448645
1 , Generation , 2 , Euclid , 451.45367681745483
7 , Generation , 51 , Euclid , 734.1906292076721
2 , Generation , 11 , Euclid , 707.4336507185029
6 , Generation , 45 , Euclid , 750.8900460922364
8 , Generation , 58 , Euclid , 843.8396883467013
3 , Generation , 22 , Euclid , 1058.9053615395055
5 , Generation , 37 , Euclid , 1140.7720701627427
4 , Generation , 27 , Euclid , 1148.3557665127125
14 , Generation , 106 , Euclid , 53.36032765571756
14 , Generation , 107 , Euclid , 61.929514094175765
14 , Generation , 108 , Euclid , 19.67081088940871
14 , Generation , 109 , Euclid , 11.383678279267524
14 , Generation , 110 , Euclid , 0
14 , Generation , 111 , Euclid , 41.195098822007424
14 , Generation , 112 , Euclid , 39.2585987605188
14 , Generation , 113 , Euclid , 20.577594496455394
14 , Generation , 107 , Euclid , 123.85902818835153
13 , Generation , 98 , Euclid , 183.30025334597903
12 , Generation , 93 , Euclid , 362.9724635322903
11 , Generation , 84 , Euclid , 498.4202044669232
9 , Generation , 70 , Euclid , 494.128594911857
1 , Generation , 2 , Euclid , 483.7003680187019
10 , Generation , 78 , Euclid , 567.8578525253835
2 , Generation , 11 , Euclid , 761.8516238506962
7 , Generation , 51 , Euclid , 825.9644578586306
6 , Generation , 45 , Euclid , 834.3222734358177
8 , Generation , 58 , Euclid , 964.3882152533744
3 , Generation , 22 , Euclid , 1147.147475001132
5 , Generation , 37 , Euclid , 1254.849277179016
4 , Generation , 27 , Euclid , 1252.7517452865932
15 , Generation , 114 , Euclid , 0
15 , Generation , 115 , Euclid , 78.34837470094554
15 , Generation , 116 , Euclid , 77.1711904040438
15 , Generation , 117 , Euclid , 6.205617474495805
15 , Generation , 118 , Euclid , 33.58925483005159
15 , Generation , 119 , Euclid , 16.921985926083146
15 , Generation , 120 , Euclid , 24.971203087744275
15 , Generation , 121 , Euclid , 44.60271715420355
15 , Generation , 115 , Euclid , 156.69674940189128
14 , Generation , 107 , Euclid , 185.7885422825271
13 , Generation , 98 , Euclid , 244.40033779463872
12 , Generation , 93 , Euclid , 453.71557941536236
1 , Generation , 2 , Euclid , 515.9470592199491
9 , Generation , 70 , Euclid , 564.7183941849793
11 , Generation , 84 , Euclid , 598.1042453603076
10 , Generation , 78 , Euclid , 662.5008279462814
2 , Generation , 11 , Euclid , 816.2695969828895
7 , Generation , 51 , Euclid , 917.738286509589
6 , Generation , 45 , Euclid , 917.754500779399
8 , Generation , 58 , Euclid , 1084.936742160047
3 , Generation , 22 , Euclid , 1235.3895884627586
4 , Generation , 27 , Euclid , 1357.1477240604738
5 , Generation , 37 , Euclid , 1368.9264841952895
16 , Generation , 122 , Euclid , 33.08737100165855
16 , Generation , 123 , Euclid , 57.14646982758205
16 , Generation , 124 , Euclid , 0
16 , Generation , 125 , Euclid , 17.53576287638918
16 , Generation , 126 , Euclid , 0
16 , Generation , 127 , Euclid , 6.428040417067741
16 , Generation , 128 , Euclid , 0
16 , Generation , 129 , Euclid , 0
16 , Generation , 123 , Euclid , 114.29293965516405
15 , Generation , 115 , Euclid , 235.04512410283698
14 , Generation , 107 , Euclid , 247.71805637670266
13 , Generation , 98 , Euclid , 305.50042224329843
12 , Generation , 93 , Euclid , 544.458695298434
1 , Generation , 2 , Euclid , 548.1937504211951
9 , Generation , 70 , Euclid , 635.3081934581016
11 , Generation , 84 , Euclid , 697.7882862536919
10 , Generation , 78 , Euclid , 757.1438033671794
2 , Generation , 11 , Euclid , 870.6875701150828
7 , Generation , 51 , Euclid , 1009.5121151605474
6 , Generation , 45 , Euclid , 1001.1867281229803
8 , Generation , 58 , Euclid , 1205.4852690667155
3 , Generation , 22 , Euclid , 1323.6317019243852
4 , Generation , 27 , Euclid , 1461.5437028343545
5 , Generation , 37 , Euclid , 1483.003691211563
17 , Generation , 130 , Euclid , 38.68435425375177
17 , Generation , 131 , Euclid , 29.519500492880127
17 , Generation , 132 , Euclid , 40.186585952217655
17 , Generation , 133 , Euclid , 0
17 , Generation , 134 , Euclid , 13.327165163794376
17 , Generation , 135 , Euclid , 4.7965414959257915
17 , Generation , 136 , Euclid , 23.957797055218816
17 , Generation , 137 , Euclid , 40.78614298808993
17 , Generation , 137 , Euclid , 81.57228597617987
16 , Generation , 123 , Euclid , 171.43940948274653
15 , Generation , 115 , Euclid , 313.3934988037825
14 , Generation , 107 , Euclid , 309.6475704708783
13 , Generation , 98 , Euclid , 366.600506691958
12 , Generation , 93 , Euclid , 635.2018111815058
1 , Generation , 2 , Euclid , 580.4404416224411
9 , Generation , 70 , Euclid , 705.897992731224
11 , Generation , 84 , Euclid , 797.4723271470763
10 , Generation , 78 , Euclid , 851.7867787880774
2 , Generation , 11 , Euclid , 925.1055432472762
6 , Generation , 45 , Euclid , 1084.6189554665616
7 , Generation , 51 , Euclid , 1101.2859438115074
8 , Generation , 58 , Euclid , 1326.033795973384
3 , Generation , 22 , Euclid , 1411.8738153860118
4 , Generation , 27 , Euclid , 1565.939681608235
